Datetime,YEAR,MONTH,DAY,SST,Temperature
2018-04-20,2018.0,4.0,20.0,10.277777777777779,9.528457627199412
2018-04-21,2018.0,4.0,21.0,9.975694444444443,9.29017711739747
2018-04-22,2018.0,4.0,22.0,9.773611111111112,9.130775672909275
2018-04-23,2018.0,4.0,23.0,9.829166666666664,9.174597375861353
2018-04-24,2018.0,4.0,24.0,10.845833333333333,9.976534539884442
2018-04-25,2018.0,4.0,25.0,11.972535211267607,10.865266450071422
2018-04-26,2018.0,4.0,26.0,12.259027777777774,11.091249108728004
2018-04-27,2018.0,4.0,27.0,11.88041958041958,10.792606501450638
2018-04-28,2018.0,4.0,28.0,12.709027777777774,11.446204902639861
2018-04-29,2018.0,4.0,29.0,12.322916666666668,11.141644067122902
2018-04-30,2018.0,4.0,30.0,10.85,9.979821167605847
2018-05-01,2018.0,5.0,1.0,9.960563380281695,9.278241875413869
2018-05-02,2018.0,5.0,2.0,9.783076923076925,9.138242216912264
2018-05-03,2018.0,5.0,3.0,11.121053336525307,10.193625505958734
2018-05-04,2018.0,5.0,4.0,11.139821888026736,10.20842996395599
2018-05-05,2018.0,5.0,5.0,11.276316775463446,10.316095855367115
2018-05-06,2018.0,5.0,6.0,11.617793941371085,10.585449852094932
2018-05-07,2018.0,5.0,7.0,11.652236523195839,10.61261783870822
2018-05-08,2018.0,5.0,8.0,11.72401428015945,10.669235462504288
2018-05-09,2018.0,5.0,9.0,12.119383447469232,10.981098966216987
2018-05-10,2018.0,5.0,10.0,11.91172497716022,10.817299905792414
2018-05-11,2018.0,5.0,11.0,11.380276975830395,10.398098689714862
2018-05-12,2018.0,5.0,12.0,11.65055828690625,10.611294061609236
2018-05-13,2018.0,5.0,13.0,11.813928081291134,10.740158628425021
2018-05-14,2018.0,5.0,14.0,12.248102942720616,11.082631700947848
2018-05-15,2018.0,5.0,15.0,12.499770727265535,11.281144897092695
2018-05-16,2018.0,5.0,16.0,12.638606459242885,11.390657224797925
2018-05-17,2018.0,5.0,17.0,12.716472153040648,11.452076956265664
2018-05-18,2018.0,5.0,18.0,12.676561314738493,11.420595660054044
2018-05-19,2018.0,5.0,19.0,11.929159103586118,10.83105178176278
2018-05-20,2018.0,5.0,20.0,11.298407818020092,10.33352106325386
2018-05-21,2018.0,5.0,21.0,11.157143172719476,10.222092831421955
2018-05-22,2018.0,5.0,22.0,11.464867413926784,10.464822836630098
2018-05-23,2018.0,5.0,23.0,12.078448255008704,10.948809669019738
2018-05-24,2018.0,5.0,24.0,12.35416174341311,11.166289891617058
2018-05-25,2018.0,5.0,25.0,12.31305191318915,11.13386284178433
2018-05-26,2018.0,5.0,26.0,12.213686518278687,11.055484347033644
2018-05-27,2018.0,5.0,27.0,12.308573494451847,11.13033030694351
2018-05-28,2018.0,5.0,28.0,12.410153163214547,11.210455400212327
2018-05-29,2018.0,5.0,29.0,12.034028855099027,10.91377206155301
2018-05-30,2018.0,5.0,30.0,11.55569551732484,10.536467195632687
2018-05-31,2018.0,5.0,31.0,11.165861363405792,10.228969658747591
2018-06-01,2018.0,6.0,1.0,11.231589832274569,10.28081566063632
2018-06-02,2018.0,6.0,2.0,11.605743715435967,10.575944746509116
2018-06-03,2018.0,6.0,3.0,11.679226327549488,10.633907144112387
2018-06-04,2018.0,6.0,4.0,11.830804145092532,10.753470309813316
2018-06-05,2018.0,6.0,5.0,11.850851324846232,10.7692833378248
2018-06-06,2018.0,6.0,6.0,11.864868902714932,10.780340272227258
2018-06-07,2018.0,6.0,7.0,12.136951968724375,10.99495685157249
2018-06-08,2018.0,6.0,8.0,12.396441251250598,11.199639572218521
2018-06-09,2018.0,6.0,9.0,12.241906065735678,11.077743662303488
2018-06-10,2018.0,6.0,10.0,12.245269470965207,11.080396684911253
2018-06-11,2018.0,6.0,11.0,12.378076104487665,11.185153316108421
2018-06-12,2018.0,6.0,12.0,12.29251136156383,11.117660646651991
2018-06-13,2018.0,6.0,13.0,11.998783417820412,10.885970790061895
2018-06-14,2018.0,6.0,14.0,11.664659035603433,10.622416600383815
2018-06-15,2018.0,6.0,15.0,11.842709592955014,10.762861215808657
2018-06-16,2018.0,6.0,16.0,11.922471308950719,10.825776511864273
2018-06-17,2018.0,6.0,17.0,11.908977612908235,10.815132810549684
2018-06-18,2018.0,6.0,18.0,12.260473696233122,11.09238963569078
2018-06-19,2018.0,6.0,19.0,12.848156232093713,11.555948126989737
2018-06-20,2018.0,6.0,20.0,10.842727272727272,9.974084508310302
2018-06-21,2018.0,6.0,21.0,10.27222222222222,9.524075456904201
2018-06-22,2018.0,6.0,22.0,9.80763888888889,9.157616465967426
2018-06-23,2018.0,6.0,23.0,9.69236111111111,9.066686432341854
2018-06-24,2018.0,6.0,24.0,10.286805555555556,9.535578653929125
2018-06-25,2018.0,6.0,25.0,10.741666666666667,9.89436884684929
2018-06-26,2018.0,6.0,26.0,10.161267605633805,9.436555492416808
2018-06-27,2018.0,6.0,27.0,10.360563380281693,9.593758136668853
2018-06-28,2018.0,6.0,28.0,10.089510489510491,9.37995414992264
2018-06-29,2018.0,6.0,29.0,10.082638888888887,9.374533895580225
2018-06-30,2018.0,6.0,30.0,9.846527777777775,9.18829165803388
2018-07-01,2018.0,7.0,1.0,10.211267605633802,9.47599502507368
2018-07-02,2018.0,7.0,2.0,11.797902097902098,10.727517482520414
2018-07-03,2018.0,7.0,3.0,11.86083916083916,10.777161649501092
2018-07-04,2018.0,7.0,4.0,12.425,11.22216644629735
2018-07-05,2018.0,7.0,5.0,12.439583333333335,11.233669643322273
2018-07-06,2018.0,7.0,6.0,12.489583333333336,11.273109175979146
2018-07-07,2018.0,7.0,7.0,11.244444444444444,10.290955258565623
2018-07-08,2018.0,7.0,8.0,11.26338028169014,10.305891669994361
2018-07-09,2018.0,7.0,9.0,10.672535211267606,9.83983860099272
2018-07-10,2018.0,7.0,10.0,10.636805555555554,9.811655382527235
2018-07-11,2018.0,7.0,11.0,10.785915492957747,9.929271907439997
2018-07-12,2018.0,7.0,12.0,11.811188811188812,10.73799791777189
2018-07-13,2018.0,7.0,13.0,11.988111888111884,10.877553187173131
2018-07-14,2018.0,7.0,14.0,11.975694444444445,10.867758423672393
2018-07-15,2018.0,7.0,15.0,12.452777777777778,11.24407729777339
2018-07-16,2018.0,7.0,16.0,13.296503496503494,11.909600258515923
2018-07-17,2018.0,7.0,17.0,12.591549295774648,11.353538974091018
2018-07-18,2018.0,7.0,18.0,12.696527777777774,11.436345019475644
2018-07-19,2018.0,7.0,19.0,12.920138888888893,11.612727373857776
2018-07-20,2018.0,7.0,20.0,13.526760563380284,12.091224880687182
2018-07-21,2018.0,7.0,21.0,14.995104895104895,13.249441165138927
2018-07-22,2018.0,7.0,22.0,15.518881118881115,13.662590954789245
2018-07-23,2018.0,7.0,23.0,15.07132867132867,13.309565767371083
